ID,OD,FU,Treatment
empty_pEmr_GFP_0U_laccase,1.359,331,0
empty_pEmr_GFP_0U_laccase,1.382,341,0
empty_pEmr_GFP_0U_laccase,1.39,393,0
J23106_pEmr_GFP_0U_laccase,1.234,60,0
J23106_pEmr_GFP_0U_laccase,1.21,40,0
J23106_pEmr_GFP_0U_laccase,1.25,41,0
J23113_pEmr_GFP_0U_laccase,1.353,331,0
J23113_pEmr_GFP_0U_laccase,1.392,351,0
J23113_pEmr_GFP_0U_laccase,1.375,358,0
J23114_pEmr_GFP_0U_laccase,1.386,176,0
J23114_pEmr_GFP_0U_laccase,1.351,177,0
J23114_pEmr_GFP_0U_laccase,1.426,173,0
empty_pEmr_GFP_0.1U_laccase,1.299,347,0.1
empty_pEmr_GFP_0.1U_laccase,1.308,337,0.1
empty_pEmr_GFP_0.1U_laccase,1.373,383,0.1
J23106_pEmr_GFP_0.1U_laccase,1.176,55,0.1
J23106_pEmr_GFP_0.1U_laccase,1.2,51,0.1
J23106_pEmr_GFP_0.1U_laccase,1.275,56,0.1
J23113_pEmr_GFP_0.1U_laccase,1.253,309,0.1
J23113_pEmr_GFP_0.1U_laccase,1.341,353,0.1
J23113_pEmr_GFP_0.1U_laccase,1.328,336,0.1
J23114_pEmr_GFP_0.1U_laccase,1.313,161,0.1
J23114_pEmr_GFP_0.1U_laccase,1.316,167,0.1
J23114_pEmr_GFP_0.1U_laccase,1.361,165,0.1
empty_pEmr_GFP_1U_laccase,1.257,372,1
empty_pEmr_GFP_1U_laccase,1.295,378,1
empty_pEmr_GFP_1U_laccase,1.294,381,1
J23106_pEmr_GFP_1U_laccase,1.288,56,1
J23106_pEmr_GFP_1U_laccase,1.294,64,1
J23106_pEmr_GFP_1U_laccase,1.301,62,1
J23113_pEmr_GFP_1U_laccase,1.299,332,1
J23113_pEmr_GFP_1U_laccase,1.309,372,1
J23113_pEmr_GFP_1U_laccase,1.282,350,1
J23114_pEmr_GFP_1U_laccase,1.355,188,1
J23114_pEmr_GFP_1U_laccase,1.297,183,1
J23114_pEmr_GFP_1U_laccase,1.301,173,1
empty_pEmr_GFP_10U_laccase,1.233,414,10
empty_pEmr_GFP_10U_laccase,1.214,385,10
empty_pEmr_GFP_10U_laccase,1.281,416,10
J23106_pEmr_GFP_10U_laccase,1.178,56,10
J23106_pEmr_GFP_10U_laccase,1.312,69,10
J23106_pEmr_GFP_10U_laccase,1.345,52,10
J23113_pEmr_GFP_10U_laccase,1.295,343,10
J23113_pEmr_GFP_10U_laccase,1.284,380,10
J23113_pEmr_GFP_10U_laccase,1.311,401,10
J23114_pEmr_GFP_10U_laccase,1.311,190,10
J23114_pEmr_GFP_10U_laccase,1.345,192,10
J23114_pEmr_GFP_10U_laccase,1.328,185,10
empty_pEmr_GFP_100U_laccase,1.323,505,100
empty_pEmr_GFP_100U_laccase,1.307,472,100
empty_pEmr_GFP_100U_laccase,1.372,473,100
J23106_pEmr_GFP_100U_laccase,1.321,66,100
J23106_pEmr_GFP_100U_laccase,1.32,72,100
J23106_pEmr_GFP_100U_laccase,1.399,73,100
J23113_pEmr_GFP_100U_laccase,1.343,453,100
J23113_pEmr_GFP_100U_laccase,1.306,484,100
J23113_pEmr_GFP_100U_laccase,1.311,467,100
J23114_pEmr_GFP_100U_laccase,1.328,220,100
J23114_pEmr_GFP_100U_laccase,1.318,228,100
J23114_pEmr_GFP_100U_laccase,1.312,249,100
